Description;Temperature;TempMin;TempMax;Feels Like;Humidity;Pressure;Date;City;Country;Main Condition
cielo sereno;3.6;3.58;3.6;-0.48;81;1002;2021-01-25 03:00:00;Ancona;IT;Clear;
pioggia leggera;4.5;4.5;4.5;-0.09;84;1000;2021-01-25 06:00:00;Ancona;IT;Rain;
pioggia moderata;6.56;6.56;6.56;3.4;86;1000;2021-01-25 09:00:00;Ancona;IT;Rain;
pioggia moderata;6.49;6.49;6.49;2.52;79;998;2021-01-25 12:00:00;Ancona;IT;Rain;
pioggia leggera;3.99;3.99;3.99;0.02;84;999;2021-01-25 15:00:00;Ancona;IT;Rain;
pioggia leggera;3.5;3.5;3.5;-1.78;77;1002;2021-01-25 18:00:00;Ancona;IT;Rain;
pioggia leggera;2.89;2.89;2.89;-1.79;78;1005;2021-01-25 21:00:00;Ancona;IT;Rain;
nubi sparse;2.24;2.24;2.24;-1.76;80;1007;2021-01-26 00:00:00;Ancona;IT;Clouds;
poche nuvole;2.02;2.02;2.02;-1.71;80;1009;2021-01-26 03:00:00;Ancona;IT;Clouds;
cielo sereno;1.84;1.84;1.84;-2.21;80;1011;2021-01-26 06:00:00;Ancona;IT;Clear;
poche nuvole;4.45;4.45;4.45;-0.8;68;1014;2021-01-26 09:00:00;Ancona;IT;Clouds;
cielo sereno;5.82;5.82;5.82;-0.05;63;1015;2021-01-26 12:00:00;Ancona;IT;Clear;
cielo sereno;5.15;5.15;5.15;1.33;67;1016;2021-01-26 15:00:00;Ancona;IT;Clear;
cielo sereno;2.39;2.39;2.39;-1.13;78;1017;2021-01-26 18:00:00;Ancona;IT;Clear;
cielo sereno;1.88;1.88;1.88;-1.57;80;1018;2021-01-26 21:00:00;Ancona;IT;Clear;
cielo sereno;1.79;1.79;1.79;-1.48;79;1018;2021-01-27 00:00:00;Ancona;IT;Clear;
cielo sereno;1.8;1.8;1.8;-1.4;78;1017;2021-01-27 03:00:00;Ancona;IT;Clear;
cielo sereno;1.6;1.6;1.6;-1.78;78;1018;2021-01-27 06:00:00;Ancona;IT;Clear;
cielo sereno;4.97;4.97;4.97;1.96;63;1018;2021-01-27 09:00:00;Ancona;IT;Clear;
nubi sparse;6.67;6.67;6.67;4.09;56;1018;2021-01-27 12:00:00;Ancona;IT;Clouds;
nubi sparse;5.75;5.75;5.75;2.79;64;1018;2021-01-27 15:00:00;Ancona;IT;Clouds;
nubi sparse;2.89;2.89;2.89;-0.5;76;1018;2021-01-27 18:00:00;Ancona;IT;Clouds;
cielo coperto;2.87;2.87;2.87;-0.71;77;1018;2021-01-27 21:00:00;Ancona;IT;Clouds;
nubi sparse;2.52;2.52;2.52;-0.89;80;1018;2021-01-28 00:00:00;Ancona;IT;Clouds;
cielo coperto;2.61;2.61;2.61;-0.6;79;1016;2021-01-28 03:00:00;Ancona;IT;Clouds;
cielo coperto;2.37;2.37;2.37;-1.16;80;1016;2021-01-28 06:00:00;Ancona;IT;Clouds;
nubi sparse;6.13;6.13;6.13;3.4;63;1016;2021-01-28 09:00:00;Ancona;IT;Clouds;
nubi sparse;8.49;8.49;8.49;5.19;54;1015;2021-01-28 12:00:00;Ancona;IT;Clouds;
cielo coperto;7.57;7.57;7.57;4.4;63;1015;2021-01-28 15:00:00;Ancona;IT;Clouds;
cielo coperto;5.13;5.13;5.13;1.95;68;1015;2021-01-28 18:00:00;Ancona;IT;Clouds;
cielo sereno;4.48;4.48;4.48;1.46;71;1016;2021-01-28 21:00:00;Ancona;IT;Clear;
